Ref,   Val,                 Package,        PosX,      PosY,       Rot,    Side
D1,      LED,             LED-0805-CUSTOM,2.0787,-2.0866,90,   Front
D2,      LED,             LED1411_SHORT,2.2362,-2.0787,0,   Front
D3,      LED,             LED-0805-CUSTOM,2.3937,-2.0866,90,   Front
D4,      LED,             LED1411_SHORT,2.5512,-2.0787,0,   Front
D5,      LED,             LED-0805-CUSTOM,2.7087,-2.0866,90,   Front
D6,      LED,             LED1411_SHORT,2.8661,-2.0787,0,   Front
D7,      LED,             LED-0805-CUSTOM,3.0236,-2.0866,90,   Front
D8,      LED,             LED1411_SHORT,3.1633,-2.0787,0,   Front
D9,      LED,             LED1411_SHORT,2.0965,-2.2356,0,   Front
D10,     LED,             LED-0805-CUSTOM,2.2362,-2.2356,90,   Front
D11,     LED,             LED1411_SHORT,2.3937,-2.2356,0,   Front
D12,     LED,             LED-0805-CUSTOM,2.5512,-2.2356,90,   Front
D13,     LED,             LED1411_SHORT,2.7087,-2.2356,0,   Front
D14,     LED,             LED-0805-CUSTOM,2.8661,-2.2356,90,   Front
D15,     LED,             LED1411_SHORT,3.0236,-2.2356,0,   Front
D16,     LED,             LED-0805-CUSTOM,3.1811,-2.2356,90,   Front
D17,     LED,             LED-0805-CUSTOM,2.0787,-2.3925,90,   Front
D18,     LED,             LED1411_SHORT,2.2362,-2.3925,0,   Front
D19,     LED,             LED-0805-CUSTOM,2.3937,-2.3925,90,   Front
D20,     LED,             LED1411_SHORT,2.5512,-2.3925,0,   Front
D21,     LED,             LED-0805-CUSTOM,2.7087,-2.3925,90,   Front
D22,     LED,             LED1411_SHORT,2.8661,-2.3925,0,   Front
D23,     LED,             LED-0805-CUSTOM,3.0236,-2.3925,90,   Front
D24,     LED,             LED1411_SHORT,3.1633,-2.3925,0,   Front
D25,     LED,             LED1411_SHORT,2.0965,-2.5493,0,   Front
D26,     LED,             LED-0805-CUSTOM,2.2362,-2.5493,90,   Front
D27,     LED,             LED1411_SHORT,2.3937,-2.5493,0,   Front
D28,     LED,             LED-0805-CUSTOM,2.5512,-2.5493,90,   Front
D29,     LED,             LED1411_SHORT,2.7087,-2.5493,0,   Front
D30,     LED,             LED-0805-CUSTOM,2.8661,-2.5493,90,   Front
D31,     LED,             LED1411_SHORT,3.0236,-2.5493,0,   Front
D32,     LED,             LED-0805-CUSTOM,3.1811,-2.5493,90,   Front
D33,     LED,             LED-0805-CUSTOM,2.0787,-2.7062,90,   Front
D34,     LED,             LED1411_SHORT,2.2362,-2.7062,0,   Front
D35,     LED,             LED-0805-CUSTOM,2.3937,-2.7062,90,   Front
D36,     LED,             LED1411_SHORT,2.5512,-2.7062,0,   Front
D37,     LED,             LED-0805-CUSTOM,2.7087,-2.7062,90,   Front
D38,     LED,             LED1411_SHORT,2.8661,-2.7062,0,   Front
D39,     LED,             LED-0805-CUSTOM,3.0236,-2.7062,90,   Front
D40,     LED,             LED1411_SHORT,3.1633,-2.7062,0,   Front
D41,     LED,             LED1411_SHORT,2.0965,-2.8631,0,   Front
D42,     LED,             LED-0805-CUSTOM,2.2362,-2.8631,90,   Front
D43,     LED,             LED1411_SHORT,2.3937,-2.8631,0,   Front
D44,     LED,             LED-0805-CUSTOM,2.5512,-2.8631,90,   Front
D45,     LED,             LED1411_SHORT,2.7087,-2.8631,0,   Front
D46,     LED,             LED-0805-CUSTOM,2.8661,-2.8631,90,   Front
D47,     LED,             LED1411_SHORT,3.0236,-2.8631,0,   Front
D48,     LED,             LED-0805-CUSTOM,3.1811,-2.8631,90,   Front
D49,     LED,             LED-0805-CUSTOM,2.0787,-3.0199,90,   Front
D50,     LED,             LED1411_SHORT,2.2362,-3.0199,0,   Front
D51,     LED,             LED-0805-CUSTOM,2.3937,-3.0199,90,   Front
D52,     LED,             LED1411_SHORT,2.5512,-3.0199,0,   Front
D53,     LED,             LED-0805-CUSTOM,2.7087,-3.0199,90,   Front
D54,     LED,             LED1411_SHORT,2.8661,-3.0199,0,   Front
D55,     LED,             LED-0805-CUSTOM,3.0236,-3.0199,90,   Front
D56,     LED,             LED1411_SHORT,3.1633,-3.0199,0,   Front
D57,     LED,             LED1411_SHORT,2.0965,-3.1768,0,   Front
D58,     LED,             LED-0805-CUSTOM,2.2362,-3.1689,90,   Front
D59,     LED,             LED1411_SHORT,2.3937,-3.1768,0,   Front
D60,     LED,             LED-0805-CUSTOM,2.5512,-3.1689,90,   Front
D61,     LED,             LED1411_SHORT,2.7087,-3.1768,0,   Front
D62,     LED,             LED-0805-CUSTOM,2.8661,-3.1689,90,   Front
D63,     LED,             LED1411_SHORT,3.0236,-3.1768,0,   Front
D64,     LED,             LED-0805-CUSTOM,3.1811,-3.1689,90,   Front
